flags,Ns,time/s,dQ/mA.h,(Q-Qo)/mA.h,control/V/mA,Voltage,I Range,Q charge/discharge/mA.h,half cycle,P/W,Time,dt,Current,state,cycle change,Capacity,full cycle
23,0,369.9999906530138,0.0,0.0,0.0,2.5088625,14,0.0,0,0.0,369.9999906530138,9.999999747378752,0.0,R,False,0.0,0.0
23,0,379.99999040039256,0.0,0.0,0.0,2.5088434,14,0.0,0,0.0,379.99999040039256,9.999999747378752,0.0,R,False,0.0,0.0
23,0,389.9999901477713,0.0,0.0,0.0,2.508939,14,0.0,0,0.0,389.9999901477713,9.999999747378752,0.0,R,False,0.0,0.0
23,0,399.99998989515007,0.0,0.0,0.0,2.5088816,14,0.0,0,0.0,399.99998989515007,9.999999747378752,0.0,R,False,0.0,0.0
23,0,409.9999896425288,0.0,0.0,0.0,2.5088816,14,0.0,0,0.0,409.9999896425288,9.999999747378752,0.0,R,False,0.0,0.0
23,0,419.99998938990757,0.0,0.0,0.0,2.5088053,14,0.0,0,0.0,419.99998938990757,9.999999747378752,0.0,R,False,0.0,0.0
23,0,429.9999891372863,0.0,0.0,0.0,2.5088243,14,0.0,0,0.0,429.9999891372863,9.999999747378752,0.0,R,False,0.0,0.0
23,0,439.9999888846651,0.0,0.0,0.0,2.5087478,14,0.0,0,0.0,439.9999888846651,9.999999747378752,0.0,R,False,0.0,0.0
23,0,449.9999886320438,0.0,0.0,0.0,2.5088816,14,0.0,0,0.0,449.9999886320438,9.999999747378752,0.0,R,False,0.0,0.0
23,0,459.9999883794226,0.0,0.0,0.0,2.50892,14,0.0,0,0.0,459.9999883794226,9.999999747378752,0.0,R,False,0.0,0.0
23,0,469.9999881268013,0.0,0.0,0.0,2.5088816,14,0.0,0,0.0,469.9999881268013,9.999999747378752,0.0,R,False,0.0,0.0
23,0,479.9999878741801,0.0,0.0,0.0,2.5088053,14,0.0,0,0.0,479.9999878741801,9.999999747378752,0.0,R,False,0.0,0.0
23,0,489.99998762155883,0.0,0.0,0.0,2.5088243,14,0.0,0,0.0,489.99998762155883,9.999999747378752,0.0,R,False,0.0,0.0
23,0,499.9999873689376,0.0,0.0,0.0,2.5087287,14,0.0,0,0.0,499.9999873689376,9.999999747378752,0.0,R,False,0.0,0.0
23,0,509.99998711631633,0.0,0.0,0.0,2.508767,14,0.0,0,0.0,509.99998711631633,9.999999747378752,0.0,R,False,0.0,0.0
23,0,519.9999868636951,0.0,0.0,0.0,2.5086906,14,0.0,0,0.0,519.9999868636951,9.999999747378752,0.0,R,False,0.0,0.0
23,0,529.9999866110738,0.0,0.0,0.0,2.5086906,14,0.0,0,0.0,529.9999866110738,9.999999747378752,0.0,R,False,0.0,0.0
23,0,539.9999863584526,0.0,0.0,0.0,2.508614,14,0.0,0,0.0,539.9999863584526,9.999999747378752,0.0,R,False,0.0,0.0
23,0,549.9999861058313,0.0,0.0,0.0,2.5086331,14,0.0,0,0.0,549.9999861058313,9.999999747378752,0.0,R,False,0.0,0.0
23,0,559.9999858532101,0.0,0.0,0.0,2.508595,14,0.0,0,0.0,559.9999858532101,9.999999747378752,0.0,R,False,0.0,0.0
